Name,glon,glat,θ,EMff,EMff_err,τ250,τ250_err,Td,Td_err,βd,βd_err,ΔTCMB,ΔTCMB_err,Asp,Asp_err,σAME,νsp,νsp_err,fUCH_max,G0,G0_err,S_28.4_resid,S_28.4_resid_err,S_28.4_resid/S_100um,S_28.4_resid/S_100um_err,Chi^2
G291.63-00.52,291.63,-0.52,0.5,4456,44215,3.7,0.3,26.2,20.5,1.74,0.08,193,94,34,17,1.9,,,,11.2,1.3,24,19,0.8,0.7,0.51
G293.35-24.47,293.35,-24.47,2,15.2,10.8,0.4,0.1,18.1,10.5,1.5,0.07,30,3,1.4,0.2,8.9,23.7,4.8,0,1.2,0.2,1.1,0.3,4.7,1.7,0.41
G294.98-01.71,294.98,-1.71,0.6,1033,1066,2.3,1,23.3,22.4,1.62,0.16,62,50,12.6,6.2,2,33.6,5.1,0.63,5.6,3.4,9.1,8.7,1.1,1.1,0.1
G298.60-00.20,298.6,-0.2,0.8,2169,21103,6.8,1.6,22,21.2,1.73,0.07,137,59,28.1,8.8,3.2,26.6,1.6,0.82,4,1.3,22,10,1.2,0.6,0.23
G305.27+00.15,305.27,0.15,0.6,3090,30145,17.4,11.5,21.1,20.4,2.08,0.08,417,83,78,12,6.3,29.1,1,0.92,3.1,0.3,65,14,1.2,0.3,0.74
G311.94+00.12,311.94,0.12,2,2655,26174,21.3,21.9,21.7,20.4,1.71,0.05,25,121,67,15,4.2,25.4,2.8,0.51,3.6,0.4,53,19,1.1,0.4,0.18
G317.51-00.11,317.51,-0.11,2,2226,22141,19,11.6,20.7,20.4,1.78,0.06,178,95,56,12,4.6,27.7,0.4,0.67,2.8,0.3,47,15,1.4,0.5,0.15
G318.49-04.28,318.49,-4.28,1,102,117,2.9,0.3,17.2,10.3,1.99,0.11,46,15,8,1.5,5.2,30.8,2.6,0,0.92,0.1,6.6,2.1,4,1.4,0.58
G320.27-00.27,320.27,-0.27,1.5,1349,1391,10.5,11,22.6,20.5,1.66,0.05,134,64,53.3,7.9,6.8,27.3,0.8,0.69,4.6,0.6,44.3,410,1.6,0.4,0.63
G322.15+00.61,322.15,0.61,2,36,56,3.9,1.1,18.7,11.1,1.92,0.26,33,56,16,6.5,2.5,32.5,4.2,0.26,1.5,0.6,13,10,3.5,3.1,0.09
G327.30-00.50,327.3,-0.5,1.3,2882,28212,18.1,17.5,20.2,21.7,2.08,0.17,190,127,46,19,2.4,29.3,1.2,0.68,2.3,1.2,40,23,1.1,0.7,0.32
G336.90+00.00,336.9,0,1.5,4543,45308,29.6,22.8,22.7,20.5,1.82,0.06,-91,182,79,27,2.9,27.6,0.5,1.01,4.8,0.7,67,33,0.7,0.3,0.14
G343.48-00.04,343.48,-0.04,2,1491,14177,35.4,311.5,18.6,11.2,1.94,0.11,61,117,54,16,3.4,24.9,3.3,0.55,1.4,0.6,43,21,1.3,0.7,0.29
G344.75+23.97,344.75,23.97,2,12.1,10.8,0.3,0,20.3,20.4,1.86,0.07,-7,2,1.4,0.2,6,26.9,1.2,0,2.4,0.3,1.2,0.3,2.1,0.6,1.45
G345.40-00.94,345.4,-0.94,2,66,113,5.7,3.8,19.3,12.8,2.38,0.49,221,110,48,10,4.6,33.2,4.8,0.86,1.8,1.6,43,17,3.9,2.1,0.24
G348.73-00.75,348.73,-0.75,0.7,1956,19176,4.2,1.1,22.9,22.1,2.08,0.41,-24,122,10,15,0.7,,,,5,2.8,7,19,0.4,1,0.11
G351.29+00.68,351.29,0.68,0.5,3071,30239,13.1,11.8,22.3,20.7,2.04,0.12,290,169,25,23,1.1,,,,4.3,0.9,17,30,0.3,0.6,0.18
G351.31+17.28,351.31,17.28,2,161,112,0.9,0.4,25.4,22.6,1.69,0.15,4,13,7.5,1.4,5.3,28.5,0.4,0.01,9.4,5.7,6.5,2.2,1.1,0.4,0.24
G351.65-01.23,351.65,-1.23,1.8,443,4222,11.8,14.2,19.7,11.4,2.2,0.26,291,150,49,24,2.1,28.5,0.4,1.38,2,0.9,41,31,1.9,1.5,0.05
G353.05+16.90,353.05,16.9,0.9,11,2,6.5,1,21,20.7,1.78,0.05,121,13,22.2,0.7,29.8,30.5,2.3,0.23,3,0.6,20,21.9,1.5,0.2,0.8
G353.16+00.74,353.16,0.74,0.4,5725,57307,16.4,15.2,21.7,21.5,2.13,0.12,576,155,85,26,3.2,32.5,4.1,0.28,3.6,1.5,71,31,1.2,0.6,0.4
G353.97+15.79,353.97,15.79,2,31,6,4.7,1.5,18.7,11.2,1.69,0.1,-23,9,10.8,1,10.9,26.6,1.5,0.11,1.5,0.6,9,2.9,2.3,0.8,0.72
G355.44+00.11,355.44,0.11,1.9,1444,14478,41.6,413.1,18.3,11.1,2.12,0.12,338,198,69,23,2.9,26.1,2,0.22,1.3,0.5,56,39,1.4,1,0.25
G355.63+20.52,355.63,20.52,1.7,12,2,2.2,0.2,16.1,10.3,2.01,0.1,60,6,7.1,0.5,13.3,26.9,1.2,0,0.61,0.06,5.9,0.7,9,1.8,1.7

